,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,dfgNumEdges,ourNumSigMoreEdges
0,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,NA,NA,NA,3.0,NA
1,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,NA,NA,NA,4.0,NA
2,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,NA,NA,NA,4.0,NA
3,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.4,NA,NA,NA,4.0,NA
4,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,NA,NA,NA,4.0,NA
5,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,NA,NA,NA,3.0,NA
6,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,NA,NA,NA,4.0,NA
7,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,NA,NA,NA,5.0,NA
8,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,0.4,NA,NA,NA,5.0,NA
9,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.6,0.2,NA,NA,NA,5.0,NA
10,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,NA,NA,NA,4.0,NA
11,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,NA,NA,NA,4.0,NA
12,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.2,0.4,NA,NA,NA,5.0,NA
13,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,NA,NA,NA,5.0,NA
14,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.6,0.0,NA,NA,NA,4.0,NA
15,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,NA,NA,NA,4.0,NA
16,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.2,0.2,NA,NA,NA,5.0,NA
17,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.4,0.0,NA,NA,NA,4.0,NA
18,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,NA,NA,NA,4.0,NA
19,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.0,NA,NA,NA,4.0,NA
20,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,NA,NA,NA,3.0,NA
21,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.8,NA,NA,NA,4.0,NA
22,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.2,0.6,NA,NA,NA,5.0,NA
23,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.4,0.4,NA,NA,NA,5.0,NA
24,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.6,0.2,NA,NA,NA,5.0,NA
25,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,0.8,0.0,NA,NA,NA,4.0,NA
26,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.6,NA,NA,NA,5.0,NA
27,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.2,0.2,0.4,12,6,6,6.0,5
28,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.2,0.4,0.2,12,6,6,6.0,5
29,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.2,0.6,0.0,12,7,5,5.0,5
30,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.4,0.0,0.4,NA,NA,NA,5.0,NA
31,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.4,0.2,0.2,12,6,6,6.0,5
32,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.4,0.4,0.0,12,7,5,5.0,5
33,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.6,0.0,0.2,NA,NA,NA,5.0,NA
34,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.6,0.2,0.0,12,7,5,5.0,5
35,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0.0,NA,NA,NA,4.0,NA
36,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.6,NA,NA,NA,4.0,NA
37,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.2,0.4,NA,NA,NA,5.0,NA
38,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.4,0.2,NA,NA,NA,5.0,NA
39,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,0.0,NA,NA,NA,4.0,NA
40,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.2,0.0,0.4,NA,NA,NA,5.0,NA
41,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.2,0.2,0.2,12,6,6,6.0,5
42,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.2,0.4,0.0,12,7,5,5.0,5
43,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.2,NA,NA,NA,5.0,NA
44,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.2,0.0,12,7,5,5.0,5
45,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,NA,NA,NA,4.0,NA
46,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.4,NA,NA,NA,4.0,NA
47,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.2,0.2,NA,NA,NA,5.0,NA
48,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.4,0.0,NA,NA,NA,4.0,NA
49,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.2,0.0,0.2,NA,NA,NA,5.0,NA
50,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.2,0.2,0.0,12,7,5,5.0,5
51,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.4,0.0,0.0,NA,NA,NA,4.0,NA
52,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.2,NA,NA,NA,4.0,NA
53,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.2,0.0,NA,NA,NA,4.0,NA
54,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.0,NA,NA,NA,4.0,NA
55,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,NA,NA,NA,3.0,NA
56,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,1.0,NA,NA,NA,4.0,NA
57,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.2,0.8,NA,NA,NA,5.0,NA
58,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.4,0.6,NA,NA,NA,5.0,NA
59,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.6,0.4,NA,NA,NA,5.0,NA
60,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.8,0.2,NA,NA,NA,5.0,NA
61,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,NA,NA,NA,4.0,NA
62,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.2,0.0,0.8,NA,NA,NA,5.0,NA
63,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.2,0.2,0.6,NA,NA,NA,6.0,NA
64,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.2,0.4,0.4,NA,NA,NA,6.0,NA
65,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.2,0.6,0.2,NA,NA,NA,6.0,NA
66,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.2,0.8,0.0,NA,NA,NA,5.0,NA
67,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.4,0.0,0.6,NA,NA,NA,5.0,NA
68,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.4,0.2,0.4,NA,NA,NA,6.0,NA
69,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.4,0.4,0.2,NA,NA,NA,6.0,NA
70,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.4,0.6,0.0,NA,NA,NA,5.0,NA
71,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.6,0.0,0.4,NA,NA,NA,5.0,NA
72,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.6,0.2,0.2,NA,NA,NA,6.0,NA
73,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.6,0.4,0.0,NA,NA,NA,5.0,NA
74,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.8,0.0,0.2,NA,NA,NA,5.0,NA
75,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.8,0.2,0.0,NA,NA,NA,5.0,NA
76,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.0,NA,NA,NA,4.0,NA
77,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.8,NA,NA,NA,5.0,NA
78,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.0,0.2,0.6,NA,NA,NA,6.0,NA
79,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.0,0.4,0.4,NA,NA,NA,6.0,NA
80,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.0,0.6,0.2,NA,NA,NA,6.0,NA
81,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.0,0.8,0.0,NA,NA,NA,5.0,NA
82,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.2,0.0,0.6,11,6,5,6.0,4
83,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.2,0.2,0.4,9,5,4,7.0,3
84,4,3,0.2,0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.2,0.2,0.4,0.2,11,5,6,7.0,5
